State,Title,Audience,Start_Date_Time,End_Date_Time,Updated_At,Updated_By
true,Andy_21.12,Gold_2026_April,08.05.2024 08:00,31.12.2100 11:00,12.07.2024 11:23,ksvirsky
true,GD_NP_FTP_STP_1707_A,Test_Campaign_Karin_2026,08.05.2024 08:00,31.12.2100 11:00,10.07.2024 09:15,aklimishyn
true,GD_NP_FTP_STP_1707_B,Gold_2026_January,15.06.2024 10:00,31.12.2100 11:00,11.07.2024 14:02,ksvirsky
true,GD_RP_AllnoBD_1707_A,Silver_2025_May,01.04.2024 00:00,30.09.2025 23:59,09.07.2024 16:40,jdoe
true,GD_RP_AllnoBD_1707_B,Test_Group_Alpha,20.03.2024 12:00,31.12.2100 11:00,08.07.2024 08:55,m_smith
false,PROMO_SUMMER_2024_A,Gold_2026_April,01.06.2024 08:00,31.08.2024 23:59,05.07.2024 10:11,admin_user
true,GD_STP_RET_1808_A,Platinum_2026_Q1,10.01.2025 09:00,31.12.2100 11:00,14.07.2024 13:22,ksvirsky
false,FTP_NewPlayer_0325_B,New_Users_2025,01.03.2025 00:00,01.04.2025 23:59,13.07.2024 17:08,aklimishyn
true,RP_Weekend_Double_2407,Weekend_Segment_2024,19.07.2024 08:00,21.07.2024 22:00,18.07.2024 19:45,jdoe
true,LOYALTY_TIER2_MAY,Gold_2026_January,01.05.2024 06:00,31.12.2100 11:00,07.07.2024 12:30,m_smith
true,NP_Onboarding_PB_01,Onboarding_Flow_A,15.02.2024 10:00,31.12.2100 11:00,06.07.2024 15:01,admin_user
false,TEST_KARIN_VARIANT_C,Test_Campaign_Karin_2026,22.05.2024 11:00,22.06.2024 11:00,04.07.2024 09:18,ksvirsky
true,STP_Recovery_1707_C,Churn_Risk_2024,05.07.2024 00:00,31.12.2100 11:00,12.07.2024 11:05,aklimishyn
true,GD_Holiday_Dec_A,Holiday_All_2024,01.12.2024 00:00,07.01.2025 23:59,01.07.2024 08:00,jdoe
false,Draft_PB_Internal_09,Internal_QA_Segment,01.01.2025 12:00,31.03.2025 12:00,30.06.2024 22:14,m_smith
true,VIP_Exclusive_PB_02,VIP_2026_Rollout,01.08.2024 08:00,31.12.2100 11:00,11.07.2024 10:50,admin_user
true,FTP_Day7_Retention_A,Silver_2025_May,08.05.2024 08:00,31.12.2100 11:00,10.07.2024 14:33,ksvirsky
true,RP_NoBD_Control_B,Control_Group_PB,01.06.2024 08:00,31.12.2100 11:00,09.07.2024 11:11,aklimishyn
false,Sunset_Campaign_0324,Legacy_Segment_2023,01.03.2024 00:00,30.04.2024 23:59,28.06.2024 16:00,jdoe
true,Piggy_Launch_Q3_2025,Gold_2026_April,01.07.2025 08:00,30.09.2025 23:59,15.07.2024 09:27,m_smith
